voice_name,name,gender,language,role,n_style,n_role,头像,风格-平静,风格-害怕,风格-愉悦,风格-不满,风格-严厉,风格-愤怒,风格-悲伤,风格-温柔,风格-撒娇,风格-尴尬,风格-沮丧,风格-羡慕,风格-聊天,风格-平静,角色-女青年,角色-男青年,角色-女中年,角色-男中年,角色-女老年,角色-女青年,角色-男老年,角色-女孩,角色-男孩,,场景-客服,场景-有声书,desc
zh-CN-XiaochenNeural,晓辰,女,普通话,年轻人,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,休闲、放松的声音，用于自发性对话和会议听录。
zh-CN-XiaohanNeural,晓涵,女,普通话,年轻人,11,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,温暖、甜美、富有感情的声音，可用于许多对话场景。
zh-CN-XiaomengNeural,晓梦,女,普通话,,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
zh-CN-XiaomoNeural,晓墨,女,普通话,年轻人,13,9,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,清晰、放松的声音，具有丰富的角色扮演和情感，适合音频书籍。
zh-CN-XiaoqiuNeural,晓秋,女,普通话,中年人,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,知性、舒适的声音，适合阅读长篇内容。
zh-CN-XiaorouNeural1,晓柔,女,普通话,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-XiaoruiNeural,晓睿,女,普通话,老年人,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,成熟、睿智的声音，具有丰富的情感，适合音频书籍。
zh-CN-XiaoshuangNeural,晓双,女,普通话,儿童,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,可爱、愉悦的声音，可应用于许多儿童相关场景。
zh-CN-XiaoxiaoNeural,晓晓,女,普通话,年轻人,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,活泼、温暖的声音，具有多种场景风格和情感。
zh-CN-XiaoxuanNeural,晓萱,女,普通话,年轻人,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,自信、有能力的声音，具有丰富的角色扮演和情感，适合音频书籍。
zh-CN-XiaoyanNeural,晓颜,女,普通话,年轻人,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,训练有素、舒适的声音，用于客户服务和对话场景。
zh-CN-XiaoyiNeural,晓伊,女,普通话,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-XiaoyouNeural,晓悠,女,普通话,儿童,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,天使般的清晰声音，可以应用于许多儿童相关场景。
zh-CN-XiaozhenNeural,晓甄,女,普通话,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-YunfengNeural,云枫,男,普通话,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-YunhaoNeural,云皓,男,普通话,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,广告
zh-CN-YunjianNeural,云健,男,普通话,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,旁白、体育解说、纪录片、兴奋、愤怒、不满、愉悦、悲伤、严厉、沮丧
zh-CN-YunjieNeural1,云杰,男,普通话,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-YunxiNeural,云希,男,普通话,年轻人,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,旁白-放松、聊天、助理、新闻活泼、阳光的声音，具有丰富的情感，可用于许多对话场景。
zh-CN-YunxiaNeural,云夏,男,普通话,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-YunyangNeural,云扬,男,普通话,年轻人,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,客户服务、旁白-专业、新闻-休闲
zh-CN-YunyeNeural,云野,男,普通话,中年人,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,成熟、放松的声音，具有多种情感，适合音频书籍。
zh-CN-YunzeNeural,云泽,男,普通话,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-liaoning-XiaobeiNeural,晓北,女,东北话,年轻人,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-henan-YundengNeural,云登,男,河南话,年轻人,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-shaanxi-XiaoniNeural,晓妮,女,陕西话,年轻人,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-shandong-YunxiangNeural,云翔,男,山东话,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-TW-HsiaoChenNeural,晓臻,女,台湾话,年轻人,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-TW-YunJheNeural,云哲,男,台湾话,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-TW-HsiaoYuNeural,晓雨,女,台湾话,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-guangxi-YunqiNeural,云奇,男,广西话,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh-CN-sichuan-YunxiNeural,云希,男,四川话,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
